Sl.no,Species_common_name,Species_scientific_name,lat,lon,Month,Year,Source,Comments,name_combined,Source_type
157,Blue_whale,Balaenoptera musculus,5.812602572,80.49584979,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
158,Blue_whale,Balaenoptera musculus,5.809249289,80.49277595,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
159,Blue_whale,Balaenoptera musculus,5.814558654,80.50255636,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
160,Blue_whale,Balaenoptera musculus,5.815676416,80.49305539,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
161,Blue_whale,Balaenoptera musculus,5.819309139,80.51066013,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
162,Blue_whale,Balaenoptera musculus,5.813440893,80.50786573,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
163,Blue_whale,Balaenoptera musculus,5.815117535,80.51429285,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
164,Blue_whale,Balaenoptera musculus,5.818470818,80.51708726,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
165,Blue_whale,Balaenoptera musculus,5.828810109,80.5159695,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
166,Blue_whale,Balaenoptera musculus,5.82992787,80.51121901,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
167,Blue_whale,Balaenoptera musculus,5.830766191,80.50395356,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
168,Blue_whale,Balaenoptera musculus,5.825736266,80.49808532,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
169,Blue_whale,Balaenoptera musculus,5.821265221,80.48830491,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
170,Blue_whale,Balaenoptera musculus,5.817632498,80.4855105,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
171,Blue_whale,Balaenoptera musculus,5.813999774,80.48020114,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
172,Blue_whale,Balaenoptera musculus,5.823221303,80.47684785,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
173,Blue_whale,Balaenoptera musculus,5.820985781,80.48020114,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
174,Blue_whale,Balaenoptera musculus,5.819309139,80.46986185,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
175,Blue_whale,Balaenoptera musculus,5.813999774,80.45672815,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
176,Blue_whale,Balaenoptera musculus,5.815676416,80.45309543,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
177,Blue_whale,Balaenoptera musculus,5.822662423,80.46203752,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
178,Blue_whale,Balaenoptera musculus,5.830207311,80.46986185,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
179,Blue_whale,Balaenoptera musculus,5.827692348,80.46008144,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
180,Blue_whale,Balaenoptera musculus,5.827692348,80.46008144,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
181,Blue_whale,Balaenoptera musculus,5.833281154,80.46175808,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
182,Blue_whale,Balaenoptera musculus,5.831325072,80.45672815,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
183,Blue_whale,Balaenoptera musculus,5.835796117,80.45393375,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
184,Blue_whale,Balaenoptera musculus,5.851724213,80.45952256,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
185,Blue_whale,Balaenoptera musculus,5.849488691,80.45281599,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
186,Blue_whale,Balaenoptera musculus,5.857592459,80.45141879,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
187,Blue_whale,Balaenoptera musculus,5.852841974,80.45030103,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
188,Blue_whale,Balaenoptera musculus,5.852562534,80.46874409,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
189,Blue_whale,Balaenoptera musculus,5.845855967,80.47964226,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
190,Blue_whale,Balaenoptera musculus,5.853959735,80.48523106,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
191,Blue_whale,Balaenoptera musculus,5.846135407,80.4855105,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
192,Blue_whale,Balaenoptera musculus,5.838031639,80.49361427,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
193,Blue_whale,Balaenoptera musculus,5.8391494,80.5056302,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
194,Blue_whale,Balaenoptera musculus,5.849209251,80.52323494,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
195,Blue_whale,Balaenoptera musculus,5.845297086,80.51373397,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
196,Blue_whale,Balaenoptera musculus,5.846414848,80.50646853,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
197,Blue_whale,Balaenoptera musculus,5.851444773,80.50590964,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
198,Blue_whale,Balaenoptera musculus,5.852841974,80.51066013,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
199,Blue_whale,Balaenoptera musculus,5.838311079,80.51904334,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
